2025-04-24 16:54:29.278518 ; Session        ; Debug       ; Session log loaded as 'C:\Users\ociya\Source\Repos\BT2202A_Plugin\YushiProject\bin\Release\SessionLogs\tap 2025-04-24 16-54-29.txt'. [2.02 ms]
2025-04-24 16:54:29.311430 ; Session        ; Debug       ; Running '.\tap  package create "C:\Users\ociya\Source\Repos\BT2202A_Plugin\YushiProject\\package.xml" --install' in 'C:\Users\ociya\Source\Repos\BT2202A_Plugin\YushiProject\bin\Release'.
2025-04-24 16:54:29.341613 ; AssemblyFinder ; Debug       ; Found 8/29 assembly files. [8.07 ms]
2025-04-24 16:54:29.362244 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\ociya\Source\Repos\BT2202A_Plugin\YushiProject\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2025-04-24 16:54:29.460236 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\ociya\Source\Repos\BT2202A_Plugin\YushiProject\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2025-04-24 16:54:29.563048 ; Searcher       ; Debug       ; Ordered 8 assemblies according to references. [187 ms]
2025-04-24 16:54:29.607597 ; Searcher       ; Warning     ; Plugin with duplicate type name OpenTap.Plugins.PluginDevelopment.ScpiInstrumentExample defined in 'BT2202a' and 'BT2202A'
2025-04-24 16:54:29.613947 ; PluginManager  ; Debug       ; Found 5 plugin assemblies containing 181 plugin types. [241 ms]
2025-04-24 16:54:29.614947 ; PluginManager  ; Debug       ; Found version 9.26.1+3d268116  of OpenTap.dll
2025-04-24 16:54:29.614947 ; PluginManager  ; Debug       ; Found version 0.0.0            of BT2202a.dll
2025-04-24 16:54:29.614947 ; PluginManager  ; Debug       ; Found version 9.26.1+3d268116  of OpenTap.Package.dll
2025-04-24 16:54:29.614947 ; PluginManager  ; Debug       ; Found version 0.0.0            of BT2202a.dll
