2025-05-29 19:25:36.878373 ; Session        ; Debug       ; Session log loaded as 'C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\SessionLogs\tap 2025-05-29 19-25-36.txt'. [1.20 ms]
2025-05-29 19:25:36.898956 ; Session        ; Debug       ; Deleting log file: C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\SessionLogs\SessionLog 2025-05-29 18-22-44.txt
2025-05-29 19:25:36.905001 ; Session        ; Debug       ; Running '.\tap  package create "C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\\package.xml" --install' in 'C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release'.
2025-05-29 19:25:36.932321 ; AssemblyFinder ; Debug       ; Found 18/39 assembly files. [8.15 ms]
2025-05-29 19:25:36.953771 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2025-05-29 19:25:37.058616 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2025-05-29 19:25:37.140341 ; Searcher       ; Debug       ; Ordered 18 assemblies according to references. [173 ms]
2025-05-29 19:25:37.184992 ; Searcher       ; Warning     ; Plugin with duplicate type name OpenTap.Plugins.PluginDevelopment.ScpiInstrumentExample defined in 'BT2202a' and 'BT2202A'
2025-05-29 19:25:37.189776 ; PluginManager  ; Debug       ; Found 5 plugin assemblies containing 184 plugin types. [225 ms]
2025-05-29 19:25:37.190781 ; PluginManager  ; Debug       ; Found version 9.27.1+49587562  of OpenTap.dll
2025-05-29 19:25:37.190781 ; PluginManager  ; Debug       ; Found version 0.0.0            of BT2202a.dll
2025-05-29 19:25:37.190781 ; PluginManager  ; Debug       ; Found version 9.27.1+49587562  of OpenTap.Package.dll
2025-05-29 19:25:37.190781 ; PluginManager  ; Debug       ; Found version 0.0.0            of BT2202a.dll
2025-05-29 19:25:37.190781 ; PluginManager  ; Debug       ; Found version 9.27.1+49587562  of OpenTap.Plugins.BasicSteps.dll
2025-05-29 19:25:37.190781 ; PluginManager  ; Debug       ; Searched 18 Assemblies. [228 ms]
2025-05-29 19:25:37.199626 ; AssemblyData   ; Debug       ; Loaded OpenTap. [372 us]
2025-05-29 19:25:37.209155 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.26100 X64
2025-05-29 19:25:37.209155 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9300.0
2025-05-29 19:25:37.210190 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.27.1+49587562 X64
2025-05-29 19:25:37.212420 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [2.85 ms]
2025-05-29 19:25:37.220922 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [6.56 ms]
2025-05-29 19:25:37.242276 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [3.76 ms]
2025-05-29 19:25:37.255106 ; Session        ; Debug       ; Session log loaded as 'C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\SessionLogs\SessionLog 2025-05-29 19-25-36.txt'. [13.6 ms]
