2025-05-29 19:07:38.195755 ; Session        ; Debug       ; Session log loaded as 'C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\SessionLogs\tap 2025-05-29 19-07-38.txt'. [1.65 ms]
2025-05-29 19:07:38.216319 ; Session        ; Debug       ; Deleting log file: C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\SessionLogs\SessionLog 2025-05-29 17-56-10.txt
2025-05-29 19:07:38.221013 ; Session        ; Debug       ; Running '.\tap  package create "C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\\package.xml" --install' in 'C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release'.
2025-05-29 19:07:38.249573 ; AssemblyFinder ; Debug       ; Found 18/39 assembly files. [7.80 ms]
2025-05-29 19:07:38.270074 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2025-05-29 19:07:38.365749 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2025-05-29 19:07:38.441525 ; Searcher       ; Debug       ; Ordered 18 assemblies according to references. [160 ms]
2025-05-29 19:07:38.487739 ; Searcher       ; Warning     ; Plugin with duplicate type name OpenTap.Plugins.PluginDevelopment.ScpiInstrumentExample defined in 'BT2202a' and 'BT2202A'
2025-05-29 19:07:38.491869 ; PluginManager  ; Debug       ; Found 5 plugin assemblies containing 184 plugin types. [213 ms]
2025-05-29 19:07:38.492937 ; PluginManager  ; Debug       ; Found version 9.27.1+49587562  of OpenTap.dll
2025-05-29 19:07:38.492937 ; PluginManager  ; Debug       ; Found version 0.0.0            of BT2202a.dll
2025-05-29 19:07:38.492937 ; PluginManager  ; Debug       ; Found version 9.27.1+49587562  of OpenTap.Package.dll
2025-05-29 19:07:38.492937 ; PluginManager  ; Debug       ; Found version 0.0.0            of BT2202a.dll
2025-05-29 19:07:38.492937 ; PluginManager  ; Debug       ; Found version 9.27.1+49587562  of OpenTap.Plugins.BasicSteps.dll
2025-05-29 19:07:38.492937 ; PluginManager  ; Debug       ; Searched 18 Assemblies. [215 ms]
2025-05-29 19:07:38.500180 ; AssemblyData   ; Debug       ; Loaded OpenTap. [280 us]
2025-05-29 19:07:38.508816 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.26100 X64
2025-05-29 19:07:38.508816 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9300.0
2025-05-29 19:07:38.508816 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.27.1+49587562 X64
2025-05-29 19:07:38.510856 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [2.68 ms]
2025-05-29 19:07:38.519331 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [6.11 ms]
