2025-05-29 19:02:54.860668 ; Session        ; Debug       ; Session log loaded as 'C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\SessionLogs\tap 2025-05-29 19-02-54.txt'. [1.33 ms]
2025-05-29 19:02:54.883668 ; Session        ; Debug       ; Deleting log file: C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\SessionLogs\SessionLog 2025-05-29 17-52-46.txt
2025-05-29 19:02:54.901388 ; Session        ; Debug       ; Running '"C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\tap.exe" tui' in 'C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release'.
2025-05-29 19:02:54.934189 ; AssemblyFinder ; Debug       ; Found 18/39 assembly files. [11.3 ms]
2025-05-29 19:02:54.960197 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2025-05-29 19:02:54.991941 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2025-05-29 19:02:55.093888 ; Searcher       ; Debug       ; Ordered 18 assemblies according to references. [113 ms]
2025-05-29 19:02:55.140903 ; Searcher       ; Warning     ; Plugin with duplicate type name OpenTap.Plugins.PluginDevelopment.ScpiInstrumentExample defined in 'BT2202a' and 'BT2202A'
2025-05-29 19:02:55.144892 ; PluginManager  ; Debug       ; Found 5 plugin assemblies containing 184 plugin types. [170 ms]
2025-05-29 19:02:55.145889 ; PluginManager  ; Debug       ; Found version 9.27.1+49587562  of OpenTap.dll
2025-05-29 19:02:55.145889 ; PluginManager  ; Debug       ; Found version 0.0.0            of BT2202a.dll
2025-05-29 19:02:55.145889 ; PluginManager  ; Debug       ; Found version 9.27.1+49587562  of OpenTap.Package.dll
2025-05-29 19:02:55.146887 ; PluginManager  ; Debug       ; Found version 0.0.0            of BT2202a.dll
2025-05-29 19:02:55.146887 ; PluginManager  ; Debug       ; Found version 9.27.1+49587562  of OpenTap.Plugins.BasicSteps.dll
2025-05-29 19:02:55.146887 ; PluginManager  ; Debug       ; Searched 18 Assemblies. [173 ms]
2025-05-29 19:02:54.860668 ; Session        ; Debug       ; Session log loaded as 'C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\SessionLogs\tap 2025-05-29 19-02-54.txt'. [1.33 ms]
2025-05-29 19:02:54.883668 ; Session        ; Debug       ; Deleting log file: C:\Users\cesar\OneDrive\Escritorio\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\SessionLogs\SessionLog 2025-05-29 17-52-46.txt
