2025-04-23 16:20:18.873286 ; AssemblyData   ; Debug       ; Loaded OpenTap. [502 us]
2025-04-23 16:20:18.894198 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.19045 X64
2025-04-23 16:20:18.894198 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9310.0
2025-04-23 16:20:18.894198 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.26.1+3d268116 X64
2025-04-23 16:20:18.903183 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [8.81 ms]
2025-04-23 16:20:18.913155 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [12.7 ms]
2025-04-23 16:20:18.377192 ; Session        ; Debug       ; Session log loaded as 'C:\Users\marsa\Downloads\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\SessionLogs\tap 2025-04-23 16-20-17.txt'. [1.69 ms]
2025-04-23 16:20:18.413097 ; Session        ; Debug       ; Running '"C:\Users\marsa\Downloads\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\tap.exe" tui' in 'C:\Users\marsa\Downloads\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release'.
2025-04-23 16:20:18.451993 ; AssemblyFinder ; Debug       ; Found 17/38 assembly files. [11.9 ms]
2025-04-23 16:20:18.486899 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\marsa\Downloads\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2025-04-23 16:20:18.525795 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\marsa\Downloads\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2025-04-23 16:20:18.787761 ; Searcher       ; Debug       ; Ordered 17 assemblies according to references. [276 ms]
2025-04-23 16:20:18.855578 ; Searcher       ; Warning     ; Plugin with duplicate type name OpenTap.Plugins.PluginDevelopment.ScpiInstrumentExample defined in 'BT2202a' and 'BT2202A'
2025-04-23 16:20:18.860565 ; PluginManager  ; Debug       ; Found 5 plugin assemblies containing 183 plugin types. [353 ms]
2025-04-23 16:20:18.862287 ; PluginManager  ; Debug       ; Found version 9.26.1+3d268116  of OpenTap.dll
2025-04-23 16:20:18.862287 ; PluginManager  ; Debug       ; Found version 0.0.0            of BT2202a.dll
2025-04-23 16:20:18.862287 ; PluginManager  ; Debug       ; Found version 9.26.1+3d268116  of OpenTap.Package.dll
2025-04-23 16:20:18.862287 ; PluginManager  ; Debug       ; Found version 0.0.0            of BT2202a.dll
2025-04-23 16:20:18.862287 ; PluginManager  ; Debug       ; Found version 9.26.1+3d268116  of OpenTap.Plugins.BasicSteps.dll
2025-04-23 16:20:18.862287 ; PluginManager  ; Debug       ; Searched 17 Assemblies. [356 ms]
2025-04-23 16:20:18.979743 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [23.3 ms]
2025-04-23 16:20:18.987721 ; Session        ; Debug       ; Session log loaded as 'C:\Users\marsa\Downloads\BT2202A_Plugin-json_testing\BT2202A_Plugin-json_testing\YushiProject\bin\Release\SessionLogs\SessionLog 2025-04-23 16-20-17.txt'. [38.8 ms]
2025-04-23 16:20:19.005673 ; tap            ; Error       ; "tap.exe tui" is not a recognized command.
2025-04-23 16:20:19.006670 ; tap            ; Information ; OpenTAP Command Line Interface (9.26.1+3d268116)
2025-04-23 16:20:19.006670 ; tap            ; Information ; Usage: "tap.exe <command> [<subcommand(s)>] [<args>]"
2025-04-23 16:20:19.006670 ; tap            ; Information ; Valid commands are:
2025-04-23 16:20:19.009662 ; tap            ; Information ; run                Run a test plan.
2025-04-23 16:20:19.009662 ; tap            ; Information ; package            
2025-04-23 16:20:19.009662 ; tap            ; Information ;    create          Create a package based on an XML description file.
2025-04-23 16:20:19.009662 ; tap            ; Information ;    download        Download one or more packages.
2025-04-23 16:20:19.009662 ; tap            ; Information ;    install         Install one or more packages.
2025-04-23 16:20:19.009662 ; tap            ; Information ;    list            List locally installed packages and browse the online package repository.
2025-04-23 16:20:19.009662 ; tap            ; Information ;    show            Show information about a package.
2025-04-23 16:20:19.009662 ; tap            ; Information ;    test            Run tests on one or more packages.
2025-04-23 16:20:19.009662 ; tap            ; Information ;    uninstall       Uninstall one or more packages.
2025-04-23 16:20:19.009662 ; tap            ; Information ;    verify          Verify the integrity of one or all installed packages by checking their fingerprints.
2025-04-23 16:20:19.009662 ; tap            ; Information ; sdk                
2025-04-23 16:20:19.009662 ; tap            ; Information ;    gitversion      Calculate the semantic version number for a specific git commit.
2025-04-23 16:20:19.009662 ; tap            ; Information ; image              
2025-04-23 16:20:19.009662 ; tap            ; Information ;    install         Install the specified image, overwriting the existing installation.
